iter	Passed	Remaining
458	803	946
459	804	944
460	806	942
461	807	940
462	808	937
463	809	935
464	811	933
465	812	931
466	814	929
467	815	927
468	817	925
469	818	923
470	820	921
471	821	918
472	823	917
473	824	914
474	825	912
475	827	910
476	828	908
477	829	906
478	831	903
479	832	901
480	833	899
481	835	897
482	836	895
483	838	893
484	839	891
485	840	889
486	842	887
487	843	885
488	845	883
489	846	881
490	847	879
491	849	876
492	850	874
493	851	872
494	853	870
495	854	868
496	855	865
497	856	863
498	858	862
499	860	860
500	861	858
501	863	856
502	864	854
503	865	852
504	867	849
505	868	847
506	869	845
507	870	843
508	872	841
509	873	839
510	874	837
511	876	835
512	877	832
513	878	830
514	879	828
515	881	826
516	882	824
517	883	822
518	884	820
519	886	817
520	887	816
521	888	814
522	890	811
523	891	809
524	892	807
525	894	805
526	895	803
527	896	801
528	898	799
529	899	797
530	900	795
531	902	793
532	903	791
533	904	789
534	906	787
535	907	785
536	908	783
537	909	781
538	911	779
539	912	777
540	913	775
541	915	773
542	916	771
543	917	769
544	919	767
545	920	765
546	922	763
547	924	762
548	925	760
549	926	758
550	928	756
551	929	754
552	931	752
553	932	750
554	933	748
555	935	747
556	936	745
557	938	743
558	939	741
559	941	739
560	942	737
561	943	735
562	944	733
563	946	731
564	947	729
565	949	728
566	950	726
567	951	724
568	953	721
569	954	720
570	956	718
571	957	716
572	959	714
573	960	712
574	961	710
575	963	709
576	964	707
577	965	705
578	967	703
579	968	701
580	969	699
581	971	697
582	972	695
583	974	693
584	975	691
585	976	689
586	977	687
587	979	686
588	980	684
589	981	682
590	983	680
591	984	678
592	985	676
593	987	674
594	988	672
595	989	670
596	991	669
597	992	667
598	994	665
599	995	663
600	996	661
601	997	659
602	999	658
603	1001	656
604	1002	654
605	1004	652
606	1005	650
607	1006	649
608	1008	647
609	1009	645
610	1010	643
611	1011	641
612	1013	639
613	1014	637
614	1016	636
615	1017	634
616	1018	632
617	1020	630
618	1021	628
619	1022	626
620	1024	625
621	1025	623
622	1027	621
623	1028	619
624	1030	618
625	1031	616
626	1033	614
627	1034	612
628	1035	610
629	1037	609
630	1038	607
631	1039	605
632	1041	603
633	1042	601
634	1043	599
635	1045	598
636	1046	596
637	1047	594
638	1048	592
639	1050	590
640	1051	589
641	1053	587
642	1054	585
643	1055	583
644	1057	582
645	1059	580
646	1061	579
647	1062	577
648	1064	575
649	1066	574
650	1067	572
651	1069	570
652	1070	568
653	1071	567
654	1073	565
655	1074	563
656	1076	561
657	1077	560
658	1078	558
659	1080	556
660	1081	554
661	1083	552
662	1084	551
663	1085	549
664	1087	547
665	1088	546
666	1090	544
667	1091	542
668	1093	540
669	1094	539
670	1095	537
671	1097	535
672	1098	533
673	1099	531
674	1100	530
675	1102	528
676	1103	526
677	1105	524
678	1106	523
679	1107	521
680	1109	519
681	1110	517
682	1111	515
683	1113	514
684	1114	512
685	1115	510
686	1117	508
687	1118	507
688	1119	505
689	1121	503
690	1122	501
691	1123	500
692	1125	498
693	1126	496
694	1128	495
695	1129	493
696	1130	491
697	1131	489
698	1133	488
699	1134	486
700	1136	484
701	1137	482
702	1138	481
703	1139	479
704	1141	477
705	1142	475
706	1144	474
707	1145	472
708	1146	470
709	1147	468
710	1149	467
711	1151	465
712	1152	463
713	1153	462
714	1154	460
715	1156	458
716	1157	457
717	1159	455
718	1160	453
719	1161	451
720	1162	449
721	1164	448
722	1166	446
723	1167	445
724	1168	443
725	1170	441
726	1171	440
727	1173	438
728	1174	436
729	1175	434
730	1177	433
731	1178	431
732	1179	429
733	1180	427
734	1182	426
735	1183	424
736	1184	422
737	1186	421
738	1188	419
739	1189	418
740	1191	416
741	1192	414
742	1194	413
743	1195	411
744	1197	409
745	1198	408
746	1199	406
747	1200	404
748	1202	402
749	1203	401
750	1205	399
751	1206	397
752	1208	396
753	1209	394
754	1210	392
755	1212	391
756	1213	389
757	1214	387
758	1216	386
759	1218	384
760	1219	382
761	1220	381
762	1221	379
763	1223	377
764	1224	376
765	1226	374
766	1227	372
767	1228	371
768	1230	369
769	1231	367
770	1233	366
771	1235	364
772	1236	363
773	1237	361
774	1239	359
775	1241	358
776	1242	356
777	1243	354
778	1244	353
779	1246	351
780	1247	349
781	1249	348
782	1250	346
783	1251	344
784	1252	343
785	1254	341
786	1255	339
787	1256	338
788	1258	336
789	1259	334
790	1260	333
791	1262	331
792	1263	329
793	1264	328
794	1266	326
795	1267	324
796	1268	323
797	1270	321
798	1271	319
799	1272	318
800	1274	316
801	1275	314
802	1276	313
803	1278	311
804	1279	309
805	1280	308
806	1282	306
807	1283	304
808	1284	303
809	1286	301
810	1287	300
811	1288	298
812	1289	296
813	1291	295
814	1292	293
815	1294	291
816	1295	290
817	1296	288
818	1297	286
819	1299	285
820	1300	283
821	1301	281
822	1303	280
823	1304	278
824	1305	276
825	1307	275
826	1308	273
827	1310	272
828	1311	270
829	1313	269
830	1314	267
831	1316	265
832	1317	264
833	1319	262
834	1320	260
835	1322	259
836	1323	257
837	1325	256
838	1326	254
839	1327	252
840	1329	251
841	1330	249
842	1332	248
843	1333	246
844	1334	244
845	1336	243
846	1338	241
847	1339	240
848	1340	238
849	1341	236
850	1343	235
851	1344	233
852	1346	232
853	1347	230
854	1348	228
855	1350	227
856	1351	225
857	1352	223
858	1354	222
859	1355	220
860	1357	219
861	1358	217
862	1360	215
863	1361	214
864	1362	212
865	1363	211
866	1365	209
867	1366	207
868	1368	206
869	1369	204
870	1371	203
871	1372	201
872	1374	199
873	1375	198
874	1376	196
875	1377	195
876	1379	193
877	1380	191
878	1381	190
879	1383	188
880	1384	187
881	1385	185
882	1387	183
883	1388	182
884	1390	180
885	1391	179
886	1392	177
887	1393	175
888	1395	174
889	1396	172
890	1398	171
891	1399	169
892	1400	167
893	1401	166
894	1403	164
895	1404	163
896	1406	161
897	1407	159
898	1409	158
899	1410	156
900	1412	155
901	1413	153
902	1414	151
903	1415	150
904	1417	148
905	1418	147
906	1419	145
907	1421	144
908	1422	142
909	1423	140
910	1425	139
911	1426	137
912	1428	136
913	1429	134
914	1430	132
915	1432	131
916	1434	129
917	1435	128
918	1436	126
919	1438	125
920	1439	123
921	1440	121
922	1442	120
923	1443	118
924	1444	117
925	1446	115
926	1447	114
927	1449	112
928	1450	110
929	1452	109
930	1453	107
931	1454	106
932	1456	104
933	1457	102
934	1458	101
935	1460	99
936	1461	98
937	1462	96
938	1464	95
939	1465	93
940	1467	91
941	1468	90
942	1469	88
943	1470	87
944	1472	85
